Group,Name,Date,Total energy (J),Average power (W),Duration (s),Max (W),Min (W),Std,50%
,,,,,,,,,
rust,,,,,,,,,
rust,rust-default,2025-04-14_15-47-55,1333.0368,1.8328,727.3049,5.6819,1.6741,0.1943,1.7203
rust,rust-default,2025-04-14_16-07-59,1333.2302,1.8303,728.4409,5.7115,1.6711,0.192,1.7206
rust,rust-default,2025-04-14_16-28-30,1327.9713,1.83,725.6719,5.5628,1.6699,0.1938,1.7204
rust,rust-default,2025-04-14_16-49-39,1339.1776,1.8287,732.2929,5.656,1.6696,0.1928,1.7176
rust,rust-default,2025-04-14_17-11-15,1323.5156,1.8371,720.4299,5.7175,1.6693,0.2073,1.7408
,,,1331.3863,1.8318,726.8281,5.6659,1.6708,0.196,1.7239
,,,,,,,,,
rust,,,,,,,,,
rust,rust-jemalloc,2025-04-15_09-28-39,1362.7223,1.8412,740.1449,5.5816,1.6678,0.2,1.8065
rust,rust-jemalloc,2025-04-15_09-52-08,1335.1593,1.849,722.0959,4.9025,1.6707,0.2026,1.8835
rust,rust-jemalloc,2025-04-15_10-15-44,1331.1644,1.8495,719.7519,5.6557,1.6701,0.2044,1.8831
rust,rust-jemalloc,2025-04-15_10-40-03,1351.3727,1.8526,729.4569,5.578,1.6729,0.2138,1.8846
rust,rust-jemalloc,2025-04-15_11-04-54,1340.3887,1.8473,725.5969,4.7299,1.6715,0.1975,1.8841
,,,1344.1615,1.8479,727.4093,5.2895,1.6706,0.2037,1.8684
,,,,,,,,,
rust,,,,,,,,,
rust,rust-PGO,2025-04-15_13-43-25,1333.6047,1.8241,731.1139,5.7195,1.6693,0.1922,1.711
rust,rust-PGO,2025-04-15_14-10-47,1325.0154,1.8235,726.6159,5.0356,1.6701,0.1883,1.7105
rust,rust-PGO,2025-04-15_14-38-39,1326.4325,1.8231,727.5809,5.7703,1.6686,0.1899,1.7097
rust,rust-PGO,2025-04-15_15-07-04,1320.281,1.8251,723.3859,5.5837,1.6708,0.1915,1.7112
rust,rust-PGO,2025-04-15_15-36-02,1341.1542,1.8224,735.9299,5.6172,1.6693,0.1886,1.7084
,,,1329.2976,1.8236,728.9253,5.5453,1.6696,0.1901,1.7102
,,,,,,,,,
,,,,,,,,,
python,,,,,,,,,
python,python-default,09-58-40.csv,1667.4691,2.1241,785.0299,6.3938,1.6416,0.4053,1.9662
python,python-default,10-15-54.csv,1662.7803,2.142,776.2869,5.2678,1.6468,0.3998,1.9797
python,python-default,10-33-41.csv,1644.1195,2.1383,768.8749,5.2092,1.6488,0.4058,1.9764
python,python-default,10-52-09.csv,1659.2063,2.1377,776.1589,5.0418,1.648,0.4021,1.9758
python,python-default,11-11-02.csv,1638.9738,2.1387,766.3419,4.9463,1.6481,0.4021,1.9776
,,,1654.5098,2.1362,774.5385,5.3718,1.6467,0.403,1.9751
,,,,,,,,,
python,python-jemalloc,12-05-45.csv,1690.9181,2.1762,777.0069,5.7888,1.6458,0.4034,2.0307
python,python-jemalloc,12-26-05.csv,1644.9734,2.1346,770.6159,5.205,1.6479,0.4056,1.9727
python,python-jemalloc,12-47-12.csv,1656.1877,2.1379,774.6769,5.1437,1.6476,0.4035,1.9756
python,python-jemalloc,13-08-38.csv,1644.5658,2.1404,768.3359,5.1525,1.6471,0.4046,1.9773
python,python-jemalloc,13-31-21.csv,1692.0491,2.1338,792.9759,5.3965,1.6472,0.4001,1.9713
,,,1665.7388,2.1446,776.7223,5.3373,1.6471,0.4034,1.9855
,,,,,,,,,
,,,,,,,,,
ruby,,,,,,,,,
ruby,ruby-default,2025-04-14_10-44-59,2098.3142,2.3799,881.6979,5.7883,1.6713,0.369,2.4211
ruby,ruby-default,2025-04-14_11-06-14,2101.525,2.3735,885.4159,5.3186,1.6721,0.3723,2.4182
ruby,ruby-default,2025-04-14_11-26-44,2107.1885,2.3692,889.4069,5.5548,1.6716,0.3741,2.4164
ruby,ruby-default,2025-04-14_11-47-38,2100.9083,2.3757,884.3459,5.5818,1.6724,0.3705,2.4187
ruby,ruby-default,2025-04-14_12-09-06,2096.752,2.3737,883.3429,5.9713,1.6728,0.3715,2.4181
,,,2100.9376,2.3744,884.8419,5.643,1.672,0.3715,2.4185
,,,,,,,,,
ruby,,,,,,,,,
ruby,ruby-jemalloc,2025-04-14_12-53-21,2054.7662,2.3595,870.8589,5.6672,1.6694,0.3746,2.4089
ruby,ruby-jemalloc,2025-04-14_13-13-32,2049.4461,2.3641,866.8879,5.3206,1.6726,0.3735,2.4127
ruby,ruby-jemalloc,2025-04-14_13-34-22,2062.4579,2.3582,874.5979,4.8981,1.6716,0.3763,2.4101
ruby,ruby-jemalloc,2025-04-14_13-55-49,2057.9899,2.3593,872.2899,5.0613,1.6738,0.3764,2.4106
ruby,ruby-jemalloc,2025-04-14_14-18-06,2061.9786,2.3625,872.7869,5.5503,1.6734,0.3757,2.4121
,,,2057.3277,2.3607,871.4843,5.2995,1.6722,0.3753,2.4109
,,,,,,,,,
ruby,,,,,,,,,
ruby,ruby-yjit,2025-04-28_11-07-49,1974.8918,2.307,856.0259,5.6351,1.6525,0.3786,2.3608
ruby,ruby-yjit,2025-04-28_11-27-04,1959.7224,2.3159,846.2149,5.4124,1.6564,0.3753,2.366
ruby,ruby-yjit,2025-04-28_11-47-02,1968.6303,2.3117,851.5979,5.2872,1.656,0.377,2.3628
ruby,ruby-yjit,2025-04-28_12-07-42,1969.3785,2.3094,852.7489,5.2754,1.6559,0.3758,2.3619
ruby,ruby-yjit,2025-04-28_12-29-06,1962.6341,2.3131,848.4929,5.4111,1.6552,0.3761,2.3645
,,,1967.0514,2.3114,851.0161,5.4042,1.6552,0.3766,2.3632
,,,,,,,,,
,,,,,,,,,
javascript,,,,,,,,,
javascript,javascript-default,2025-04-09_14-00-29,1526.6199,2.0493,744.9419,6.6302,1.6675,0.3505,1.9427
javascript,javascript-default,2025-04-09_14-18-46,1521.3324,2.0445,744.1209,5.7329,1.666,0.3409,1.9398
javascript,javascript-default,2025-04-09_14-37-24,1518.7737,2.0474,741.8109,6.5931,1.6644,0.3454,1.9401
javascript,javascript-default,2025-04-09_14-56-36,1528.7734,2.0406,749.1629,6.5099,1.6652,0.3415,1.9381
javascript,javascript-default,2025-04-09_15-16-26,1513.9829,2.0438,740.7559,6.0439,1.6641,0.3464,1.9388
,,,1521.8965,2.0451,744.1585,6.302,1.6654,0.3449,1.9399
,,,,,,,,,
javascript,,,,,,,,,
javascript,javascript-jemalloc,2025-04-09_15-47-02,1552.9178,2.0509,757.1719,6.3633,1.664,0.3595,1.9441
javascript,javascript-jemalloc,2025-04-09_16-08-06,1526.4994,2.0429,747.2099,6.6505,1.6641,0.3546,1.9368
javascript,javascript-jemalloc,2025-04-09_16-29-46,1544.2823,2.0402,756.9229,5.7756,1.6627,0.3519,1.939
javascript,javascript-jemalloc,2025-04-09_16-51-46,1509.3981,2.0411,739.5119,5.6198,1.6631,0.3398,1.9368
javascript,javascript-jemalloc,2025-04-09_17-14-31,1538.3146,2.0455,752.0619,5.8184,1.6632,0.3617,1.9411
,,,1534.2824,2.0441,750.5757,6.0455,1.6634,0.3535,1.9396
,,,,,,,,,
javascript,,,,,,,,,
javascript,javascript-jitless,2025-04-14_09-58-24,1732.8742,2.0801,833.0569,6.874,1.671,0.3131,1.9678
javascript,javascript-jitless,2025-04-14_10-17-35,1778.6204,2.1413,830.6079,6.106,1.6702,0.3319,1.9853
javascript,javascript-jitless,2025-04-09_20-46-16,1733.2031,2.0661,838.8729,7.2482,1.6642,0.302,1.9644
javascript,javascript-jitless,2025-04-09_21-12-54,1732.5303,2.0688,837.4399,7.0941,1.6652,0.3064,1.9649
javascript,javascript-jitless,2025-04-09_21-40-18,1737.0865,2.0697,839.3089,5.7595,1.6658,0.3049,1.9654
,,,1742.8629,2.0852,835.8573,6.6164,1.6673,0.3117,1.9696
,,,,,,,,,
,,,,,,,,,
Java,,,,,,,,,
java,java-default,2025-04-22_11-20-43,2353.7063,2.4756,950.7549,6.5335,1.6725,0.4396,2.5113
java,java-default,2025-04-22_11-41-17,2215.9538,2.3959,924.9039,6.5074,1.6757,0.4358,2.4051
java,java-default,2025-04-22_12-02-16,2203.3439,2.3949,920.0299,6.4906,1.6757,0.4345,2.3929
java,java-default,2025-04-22_12-24-18,2203.2674,2.3922,921.0389,6.5162,1.6768,0.4365,2.3871
java,java-default,2025-04-22_12-46-59,2202.75,2.3951,919.6999,6.4918,1.6767,0.433,2.3945
,,,2235.8043,2.4107,927.2855,6.5079,1.6755,0.4359,2.4182
,,,,,,,,,
java,,,,,,,,,
java,java-jemalloc,2025-04-22_13-15-06,2388.1722,2.4895,959.3029,6.6466,1.6805,0.4465,2.5267
java,java-jemalloc,2025-04-22_13-39-39,2218.7064,2.4084,921.2299,6.591,1.6761,0.4365,2.4137
